2025	343603404
2024	341814420
2023	334914895
2022	333271411
2021	332048977
2020	331526933
2019	328329953
2018	326838199
2017	325122128
2016	323071755
2015	320738994
2014	318386329
2013	316059947
2012	313877662
2011	311583481
2010	309327143
2009	306771529
2008	304093966
2007	301231207
2006	298379912
2005	295516599
2004	292805298
2003	290107933
2002	287625193
2001	284968955
2000	282162411
1999	279040000
1998	275854000
1997	272657000
1996	269394000
1995	266278000
1994	263126000
1993	259919000
1992	256514000
1991	252981000
1990	249623000
1989	246819000
1988	244499000
1987	242289000
1986	240133000
1985	237924000
1984	235825000
1983	233792000
1982	231664000
1981	229466000
1980	227225000
1979	225055000
1978	222585000
1977	220239000
1976	218035000
1975	215973000
1974	213854000
1973	211909000
1972	209896000
1971	207661000
1970	205052000
1969	202677000
1968	200706000
1967	198712000
1966	196560000
1965	194303000
1964	191889000
1963	189242000
1962	186538000
1961	183691000
1960	180671000
1959	173324608
1958	170147101
1957	166949120
1956	164063411
1955	161136449
1954	158205873
1953	155451199
1952	152941727
1951	150598453
1950	148281550
